104, PA3	2SW, 123456, 39.99, 1, PURCHASED, PAYPAL, 20-02-2020
104, PA3	2SW, 124566, 4.99, 2, PURCHASED, PAYPAL, 20-02-2020
103, BN	3XP, 124566, 4.99, 2, SAVED, , 18-02-2020
104, PA3	2SW, 237788, 8.99, 5, CANCELLED, , 15-01-2020
104, PA3	2SW, 112233, 9.5, 1, CANCELLED, , 15-01-2020
102, E20	3BS, 234555, 85.5, 2, PURCHASED, CREDIT_CARD, 10-01-2020
102, E20 3BS, 444440, 9999.9999, 1, CANCELLED, , 29-04-2020
102, E20 3BS, 444440, 9999.9999, 1, SAVED, , 29-04-2020
102, E20 3BS, 235066, 60.0, 1, SAVED, , 29-04-2020
102, E20 3BS, 112233, 9.5, 1, SAVED, , 29-04-2020
102, E20 3BS, 112233, 9999.0, 1, SAVED, , 29-04-2020
102, E20 3BS, 235066, 60.0, 1, SAVED, , 29-04-2020
102, E20 3BS, 444440, 9999.9999, 1, CANCELLED, , 29-04-2020
102, E20 3BS, 444440, 9999.9999, 1, PURCHASED, PAYPAL, 29-04-2020
102, E20 3BS, 124455, 5.99, 1, PURCHASED, CREDIT_CARD, 29-04-2020
102, E20 3BS, 125567, 30.0, 1, PURCHASED, CREDIT_CARD, 11-05-2020
102, E20 3BS, 237799, 8.0, 1, PURCHASED, CREDIT_CARD, 11-05-2020
