3211, mouse, GAMING, brand , color , WIRED, 123.0, 440.0, 1, 3
1999, keyboard, razer , gei jina , WIRED, 0.0, 4211.0, 1, FLEXIBLE, UK
221122, mouse, GAMING, Razer, black, WIRED, 1.0, 28.0, 1, 7
237700, mouse, GAMING, Anker, black, WIRED, 1.0, 8.0, 1, 7
123456, keyboard, Corsair, black, WIRED, 2.0, 30.0, 2, GAMING, UK
221101, mouse, STANDARD, Logitech, black, WIRED, 3.0, 3.0, 3, 3
223044, mouse, GAMING, Anker, blue, WIRED, 3.0, 16.0, 3, 10
125567, keyboard, Logitech, black, WIRELESS, 4.0, 25.99, 4, INTERNET, US
235066, keyboard, Microsoft, black, WIRELESS, 5.0, 45.5, 5, FLEXIBLE, UK
236677, mouse, STANDARD, Asus, blue, WIRELESS, 8.0, 10.0, 8, 5
124455, keyboard, Advent, white, WIRED, 10.0, 3.5, 10, STANDARD, UK
234555, keyboard, Apple, white, WIRELESS, 10.0, 75.5, 10, STANDARD, US
112233, mouse, GAMING, Logitech, black, WIRELESS, 15.0, 7.5, 15, 3
124566, mouse, STANDARD, Advent, grey, WIRED, 15.0, 2.5, 15, 2
3211, mouse, GAMING, brand , color , WIRED, 123.0, 440.0, 1, 3
1999, keyboard, razer , gei jina , WIRED, 0.0, 4211.0, 1, FLEXIBLE, UK
221122, mouse, GAMING, Razer, black, WIRED, 1.0, 28.0, 1, 7
237700, mouse, GAMING, Anker, black, WIRED, 1.0, 8.0, 1, 7
123456, keyboard, Corsair, black, WIRED, 2.0, 30.0, 2, GAMING, UK
221101, mouse, STANDARD, Logitech, black, WIRED, 3.0, 3.0, 3, 3
223044, mouse, GAMING, Anker, blue, WIRED, 3.0, 16.0, 3, 10
125567, keyboard, Logitech, black, WIRELESS, 4.0, 25.99, 4, INTERNET, US
235066, keyboard, Microsoft, black, WIRELESS, 5.0, 45.5, 5, FLEXIBLE, UK
236677, mouse, STANDARD, Asus, blue, WIRELESS, 8.0, 10.0, 8, 5
124455, keyboard, Advent, white, WIRED, 10.0, 3.5, 10, STANDARD, UK
234555, keyboard, Apple, white, WIRELESS, 10.0, 75.5, 10, STANDARD, US
112233, mouse, GAMING, Logitech, black, WIRELESS, 15.0, 7.5, 15, 3
124566, mouse, STANDARD, Advent, grey, WIRED, 15.0, 2.5, 15, 2
3211, mouse, GAMING, brand , color , WIRED, 123.0, 440.0, 1, 3
1999, keyboard, razer , gei jina , WIRED, 0.0, 4211.0, 1, FLEXIBLE, UK
221122, mouse, GAMING, Razer, black, WIRED, 1.0, 28.0, 1, 7
237700, mouse, GAMING, Anker, black, WIRED, 1.0, 8.0, 1, 7
123456, keyboard, Corsair, black, WIRED, 2.0, 30.0, 2, GAMING, UK
221101, mouse, STANDARD, Logitech, black, WIRED, 3.0, 3.0, 3, 3
223044, mouse, GAMING, Anker, blue, WIRED, 3.0, 16.0, 3, 10
125567, keyboard, Logitech, black, WIRELESS, 4.0, 25.99, 4, INTERNET, US
235066, keyboard, Microsoft, black, WIRELESS, 5.0, 45.5, 5, FLEXIBLE, UK
236677, mouse, STANDARD, Asus, blue, WIRELESS, 8.0, 10.0, 8, 5
124455, keyboard, Advent, white, WIRED, 10.0, 3.5, 10, STANDARD, UK
234555, keyboard, Apple, white, WIRELESS, 10.0, 75.5, 10, STANDARD, US
112233, mouse, GAMING, Logitech, black, WIRELESS, 15.0, 7.5, 15, 3
124566, mouse, STANDARD, Advent, grey, WIRED, 15.0, 2.5, 15, 2
